Name;CoinGecko id;Symbol;Unicode Symbol
Bitcoin;bitcoin;BTC;₿
Ethereum;ethereum;ETH;Ξ
Tether;tether;USDT;₮
Cardano;cardano;ADA;₳
XRP;ripple;XRP;✕
Solana;solana;SOL;◎
Polkadot;polkadot;DOT;●
Dogecoin;dogecoin;DOGE;Ð
Dai;dai;DAI;◈
Litecoin;litecoin;LTC;Ł
Algorand;algorand;ALGO;Ⱥ
Bitcoin Cash;bitcoin-cash;BCH;Ƀ
ECOMI;ecomi;OMI;Ο
Internet Computer;internet-computer;ICP;∞
Ethereum Classic;ethereum-classic;ETC;ξ
Monero;monero;XMR;ɱ
Tezos;tezos;XTZ;ꜩ
Iota;iota;MIOTA;ɨ
EOS;eos;EOS;ε
Bitcoin SV;bitcoin-cash-sv;BSV;Ɓ
Maker;maker;MKR;Μ
Zcash;zcash;ZEC;ⓩ
Dash;dash;DASH;Đ
Nano;nano;XNO;Ӿ
Augur;augur;REP;Ɍ
Steem;steem;STEEM;ȿ